Impurity Size (µm²),Impurity Spacing (µm)
34143.01593291704,75.75156464566685
64.48127859688324,51.251337439047674
134.86678081667756,73.12029532818896
410.75504828724905,77.28420789710805
37.715464839686426,101.47010891562694
93.96661353796638,16.599632479068188
353.0367894766094,45.932381199207335
112.71699643739302,103.91912314378867
74.92996525076222,82.67157590805064
180.27562795288446,126.04701633984405
32.34798881885819,50.41461138449131
78.86611433270294,96.56565314983281
26.014367114280866,71.83192654300345
19.14399780762072,82.16295138635964
14.027004001097799,78.53061475865675
44.943665881068455,89.95648736979096
107.20638772267603,61.35355888280054
31.77545804330318,97.24611059437892
34.99594365580012,101.94098354481291
14.062787174569987,94.48312191444735
75.10888111812316,112.23482246229554
20.93315648123013,16.75911957783566
349.0290740477243,85.51092010170703
102.51879199781938,93.76466507614313
15.673029980818459,75.4740075242835
50.991022197868276,34.47757016873903
14.885800164430318,72.6110829032377
466.29053351608525,86.18854127207015
9.87615587832396,26.928123588090223
491.87550254869984,32.47177250147981
48.37885053439853,72.53714070287621
470.58451433274786,90.75896103328243
92.32058755824572,28.758386281486427
25.227137297892725,81.7045080695919
29.807383502332822,93.04377476883616
26.157499808169618,62.68323000898233
28.44762291038967,44.09266401768599
13.132424664293092,82.74497061624567
183.99707799399204,90.886560565135
92.0701053439404,27.41963549870464
9.518324143602078,71.11274078332566
14.062787174569987,89.92269959742495
108.31566610031388,72.95633512851163
31.632325349414423,38.03433882950466
34.745461441494804,124.29630307133823
43.04715768704248,89.30189776503472
114.57772145794682,55.072949140365644
19.251347328037284,96.77138551054426
61.010310770080984,75.49656280160168
6.512537571938264,59.46525117153657
17.748454042205378,51.68383713462637
4.401330337079156,63.6287397360365
6.512537571938264,118.83684403683226
7.156634694437653,17.439277208462784
6.226272184160758,74.21553946633371
85.19973603728025,35.52681768441075
47.233788983288505,119.39965889645755
14.635317950125,81.01232559982309
153.25933198138233,115.32822564053241
26.085933461225242,44.74279538461861
89.3148009865819,75.4428207741
37.39341627843673,26.471460194814256
10.699168868184291,34.132452980112284
,81.472847398904
,63.38475714303664
,26.038628608273005
,60.51917247482274
,104.8546982926924
,124.8223570059393
,153.95549176991076
,127.51393156283417
,35.29208254428354
,154.4249021807088
,106.97236002802876
,150.50072988833134
,23.048876226061427
,78.16880948572016
,130.101912250554
,159.75036623401937
,80.28218861495901
,39.542085330233135
,107.13106122225038
,60.37142241691447
,156.34505537239667
,51.293973709828606
,135.97175439152448
,105.25345966346684
,79.0162944320992
,151.76589644980933
,51.70549306966011
