ImageName,Length
indentation_24.bmp,10.0
indentation_25.bmp,10.0
indentation_30.bmp,10.0
indentation_31.bmp,10.0
indentation_1.bmp,1.0
indentation_2.bmp,1.0
indentation_3.bmp,1.0
indentation_4.bmp,1.0
indentation_5.bmp,1.0
indentation_6.bmp,1.0
indentation_7.bmp,1.0
indentation_8.bmp,1.0
indentation_9.bmp,1.0
indentation_10.bmp,1.0
indentation_11.bmp,1.0
indentation_12.bmp,1.0
indentation_13.bmp,1.0
indentation_14.bmp,1.0
indentation_15.bmp,1.0
indentation_16.bmp,1.0
indentation_17.bmp,1.0
indentation_18.bmp,1.0
indentation_19.bmp,1.0
indentation_34.bmp,10.0
indentation_35.bmp,10.0
indentation_36.bmp,10.0
indentation_37.bmp,10.0
indentation_38.bmp,10.0
indentation_39.bmp,10.0
indentation_40.bmp,10.0
indentation_41.bmp,10.0
indentation_42.bmp,10.0
indentation_43.bmp,10.0
indentation_44.bmp,10.0
indentation_45.bmp,10.0
indentation_46.bmp,10.0
indentation_47.bmp,10.0
indentation_48.bmp,10.0
indentation_49.bmp,10.0
indentation_50.bmp,10.0
indentation_51.bmp,10.0
indentation_52.bmp,5.0
indentation_53.bmp,5.0
indentation_54.bmp,10.0
indentation_55.bmp,10.0
indentation_56.bmp,10.0
indentation_57.bmp,10.0
indentation_58.bmp,10.0
indentation_59.bmp,10.0
indentation_60.bmp,10.0
indentation_61.bmp,10.0
indentation_62.bmp,5.0
indentation_63.bmp,5.0
indentation_64.bmp,10.0
indentation_65.bmp,10.0
indentation_66.bmp,10.0
indentation_67.bmp,10.0
indentation_68.bmp,10.0
indentation_69.bmp,10.0
indentation_70.bmp,5.0
indentation_71.bmp,5.0
indentation_72.bmp,10.0
indentation_73.bmp,10.0
indentation_74.bmp,10.0
indentation_75.bmp,10.0
indentation_76.bmp,5.0
indentation_77.bmp,5.0
indentation_78.bmp,10.0
indentation_79.bmp,10.0
indentation_80.bmp,50.0
indentation_20.bmp,10.0
indentation_21.bmp,10.0
indentation_22.bmp,10.0
indentation_23.bmp,10.0
indentation_26.bmp,10.0
indentation_27.bmp,10.0
indentation_28.bmp,10.0
indentation_29.bmp,10.0
indentation_32.bmp,5.0
indentation_33.bmp,5.0
indentation_81.tif,50.0
indentation_82.tif,50.0
indentation_83.tif,30.0
indentation_84.tif,30.0
indentation_85.tif,30.0
indentation_86.tif,30.0
indentation_87.tif,30.0
indentation_88.tif,30.0
