Number,Diameter,Area,Region
0,2.5058036495940548,4.931555853949654,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE493D0>
1,14.813108218589548,172.33848571777344,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEAEB6D0>
2,29.027976240055207,661.7948744032119,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49510>
3,0.8030596335055961,0.5065070258246528,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49610>
4,7.944876759880433,49.5751698811849,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49710>
5,3.812786500726982,11.417600843641495,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49850>
6,11.14411908774807,97.53968980577258,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49950>
7,3.2863553095988887,8.482403225368925,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49A50>
8,12.755529717029097,127.78706020779082,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49B50>
9,0.13243583805755924,0.013775295681423614,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49810>
10,0.05194560942726989,0.002119276258680556,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49D10>
11,0.35801040640126275,0.10066562228732641,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49E10>
12,0.19436267322401846,0.02966986762152778,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE49F10>
13,10.444232854449657,85.67280239529082,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A010>
14,0.6446280603345252,0.32636854383680564,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A110>
15,0.7704779000915621,0.4662407769097223,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A210>
16,18.472416724797405,268.0015563964844,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A310>
17,19.842746854061577,309.2384338378906,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A410>
18,41.55356549855393,1356.1460706922746,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A510>
19,6.250548507055812,30.685000949435768,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A610>
20,0.12724023747471874,0.012715657552083334,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A710>
21,8.344589651093775,54.68898349338108,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A810>
22,0.629807043307122,0.3115336100260417,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4A910>
23,0.19780298762195636,0.03072950575086806,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4AA10>
24,0.15583682828180964,0.019073486328125,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4AB10>
25,0.13243583805755924,0.013775295681423614,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4AC10>
26,0.23230782762405877,0.04238552517361112,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4AD10>
27,8.022023549786983,50.542619493272575,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4AE10>
28,4.288895777633014,14.447106255425348,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4AF10>
29,3.824798645111152,11.489656236436634,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4B010>
30,8.063039595163001,51.06078253851997,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4B110>
31,9.26999928142682,67.49153137207031,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4B210>
32,18.688367014431147,274.3042839898004,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4B310>
33,0.14225891023334367,0.01589457194010417,<skimage.measure._regionprops.RegionProperties object at 0x00000270BEE4B410>
